Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,207.000000,220.800003,199.350006,211.949997,211.949997,168426403
2022-04-05,215.000000,233.100006,211.800003,233.100006,233.100006,96357690
2022-04-06,237.500000,244.750000,234.000000,244.750000,244.750000,54655056
2022-04-07,256.950012,256.950012,232.550003,232.550003,232.550003,29413380
2022-04-08,220.949997,220.949997,220.949997,220.949997,220.949997,2736278
2022-04-11,218.949997,231.949997,216.100006,231.600006,231.600006,61868038
2022-04-12,234.000000,239.899994,224.649994,230.800003,230.800003,42554718
2022-04-13,232.399994,236.250000,219.300003,223.250000,223.250000,27425466
2022-04-18,221.000000,234.399994,214.000000,234.399994,234.399994,30703759
2022-04-19,240.000000,246.100006,225.050003,232.449997,232.449997,43663282
2022-04-20,238.949997,243.500000,232.000000,235.050003,235.050003,26049922
2022-04-21,239.300003,246.800003,238.199997,246.800003,246.800003,30361095
2022-04-22,249.800003,259.100006,248.699997,259.100006,259.100006,34601657
2022-04-25,263.399994,272.049988,262.100006,272.049988,272.049988,25909476
2022-04-26,285.600006,285.649994,283.000000,285.649994,285.649994,5864099
2022-04-27,298.000000,299.899994,276.649994,299.200012,299.200012,44895283
2022-04-28,305.200012,312.000000,284.250000,284.250000,284.250000,48465993
2022-04-29,278.000000,296.000000,270.049988,280.350006,280.350006,45385821
2022-05-02,280.000000,288.850006,273.000000,280.350006,280.350006,17953004
2022-05-04,288.000000,289.000000,266.350006,266.350006,266.350006,17652624
2022-05-05,260.000000,279.649994,253.050003,278.149994,278.149994,39813793
2022-05-06,283.950012,292.049988,271.500000,292.049988,292.049988,45678881
2022-05-09,295.649994,298.000000,277.450012,281.600006,281.600006,40481648
2022-05-10,272.450012,281.600006,267.549988,267.549988,267.549988,13908532
2022-05-11,257.299988,278.000000,254.199997,255.300003,255.300003,34477812
2022-05-12,250.000000,254.600006,242.550003,242.550003,242.550003,11068771
2022-05-13,250.000000,254.649994,245.600006,254.649994,254.649994,7976144
2022-05-16,267.350006,267.350006,267.350006,267.350006,267.350006,3138052
2022-05-17,280.700012,280.700012,280.700012,280.700012,280.700012,1419672
2022-05-18,294.700012,294.700012,283.600006,294.700012,294.700012,36111034
2022-05-19,286.950012,303.950012,284.649994,297.399994,297.399994,31377678
2022-05-20,307.000000,312.250000,305.100006,312.250000,312.250000,22456814
2022-05-23,321.649994,327.850006,318.350006,327.850006,327.850006,12991259
2022-05-24,340.950012,343.899994,311.500000,311.500000,311.500000,39427567
2022-05-25,309.100006,318.799988,295.950012,299.350006,299.350006,31601250
2022-05-26,308.899994,314.299988,286.100006,314.299988,314.299988,30333101
2022-05-27,325.299988,330.000000,315.000000,328.100006,328.100006,25197002
2022-05-30,338.700012,344.500000,326.000000,340.250000,340.250000,39394054
2022-05-31,323.250000,323.250000,323.250000,323.250000,323.250000,64390369
2022-06-01,310.500000,316.700012,307.100006,307.100006,307.100006,12531939
2022-06-02,291.750000,313.000000,291.750000,295.350006,295.350006,53627093
2022-06-03,301.000000,302.799988,282.000000,284.100006,284.100006,20811415
2022-06-06,285.000000,298.299988,277.100006,298.299988,298.299988,12813174
2022-06-07,299.950012,302.799988,288.399994,291.399994,291.399994,15824786
2022-06-08,295.549988,296.799988,282.200012,284.500000,284.500000,9228822
